,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2017 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
45,Algeria,,12,"25,912","28,904","31,184","33,288","36,118","39,872","41,318","13,117","14,639","15,803","16,836","18,230","20,133","20,866","12,795","14,265","15,381","16,453","17,887","19,738","20,452"
46,Egypt,,818,"57,412","63,714","69,906","76,778","84,108","93,778","97,553","28,822","32,059","35,164","38,707","42,466","47,409","49,325","28,590","31,656","34,742","38,072","41,642","46,369","48,228"
47,Libya,,434,"4,437","4,949","5,356","5,793","6,169","6,235","6,375","2,339","2,592","2,780","2,987","3,150","3,148","3,213","2,098","2,357","2,575","2,806","3,020","3,087","3,161"
48,Morocco,,504,"24,879","27,075","28,850","30,521","32,410","34,803","35,740","12,413","13,469","14,294","15,075","15,973","17,220","17,701","12,466","13,606","14,556","15,446","16,437","17,583","18,039"
49,Sudan,3,729,"20,148","24,103","27,251","30,912","34,386","38,648","40,533","10,103","12,089","13,665","15,500","17,153","19,305","20,257","10,044","12,014","13,586","15,412","17,233","19,343","20,276"
50,Tunisia,,788,"8,233","9,114","9,699","10,102","10,640","11,274","11,532","4,139","4,590","4,866","5,032","5,276","5,570","5,697","4,093","4,524","4,833","5,071","5,364","5,703","5,835"
51,Western Sahara,,732,217,256,314,438,480,526,553,114,133,164,231,253,276,290,103,123,150,207,227,250,263
52,Southern Africa,,913,"42,818","48,035","52,286","55,764","59,016","63,420","65,143","21,096","23,574","25,631","27,342","28,950","31,114","31,948","21,723","24,461","26,655","28,422","30,067","32,306","33,196"
53,Botswana,,72,"1,378","1,569","1,728","1,856","2,015","2,209","2,292",678,773,852,916,996,"1,092","1,133",700,796,876,940,"1,019","1,118","1,159"
54,Lesotho,,426,"1,604","1,761","1,869","1,950","2,041","2,175","2,233",775,858,899,942,988,"1,055","1,084",829,904,969,"1,007","1,052","1,120","1,149"
55,Namibia,,516,"1,415","1,655","1,899","2,032","2,173","2,426","2,534",689,808,929,988,"1,052","1,179","1,233",726,848,971,"1,045","1,121","1,247","1,301"
56,South Africa,,710,"37,561","42,088","45,728","48,821","51,585","55,291","56,717","18,549","20,674","22,440","23,961","25,329","27,149","27,836","19,012","21,414","23,288","24,860","26,255","28,142","28,881"
57,Swaziland,,748,861,961,"1,061","1,106","1,203","1,319","1,367",406,461,511,535,583,639,662,456,500,551,571,620,680,705
58,Western Africa,,914,"180,533","206,555","235,508","268,608","307,781","352,614","371,990","90,472","103,567","118,214","134,855","154,593","177,390","187,236","90,055","102,982","117,289","133,749","153,184","175,220","184,751"
59,Benin,,204,"4,978","5,906","6,866","7,982","9,199","10,576","11,176","2,424","2,895","3,383","3,955","4,569","5,270","5,575","2,555","3,011","3,483","4,027","4,630","5,306","5,601"
60,Burkina Faso,,854,"8,811","10,090","11,608","13,422","15,605","18,111","19,193","4,306","4,943","5,702","6,622","7,738","9,019","9,572","4,505","5,147","5,906","6,800","7,868","9,092","9,621"
61,Cabo Verde,,132,342,389,435,475,502,533,546,162,187,210,232,250,265,272,180,202,225,242,253,268,274
62,Côte d'Ivoire,,384,"12,268","14,541","16,687","18,336","20,401","23,108","24,295","6,369","7,527","8,610","9,401","10,409","11,729","12,307","5,898","7,014","8,077","8,935","9,992","11,380","11,988"
63,Gambia,,270,917,"1,066","1,232","1,444","1,692","1,978","2,101",462,533,612,716,838,979,"1,040",455,533,620,728,854,999,"1,061"
64,Ghana,,288,"14,628","16,760","18,939","21,542","24,512","27,583","28,834","7,434","8,474","9,565","10,764","12,134","13,724","14,368","7,195","8,287","9,374","10,778","12,378","13,859","14,466"
65,Guinea,,324,"6,041","7,871","8,809","9,680","10,794","12,092","12,717","2,987","3,904","4,386","4,839","5,400","6,059","6,376","3,054","3,967","4,422","4,841","5,394","6,032","6,341"
66,Guinea-Bissau,,624,"1,012","1,137","1,243","1,381","1,556","1,771","1,861",494,556,608,674,763,870,916,518,581,635,707,793,900,945
67,Liberia,,430,"2,097","2,073","2,885","3,261","3,948","4,500","4,732","1,044","1,032","1,441","1,635","1,985","2,268","2,387","1,053","1,042","1,443","1,626","1,963","2,231","2,345"
68,Mali,,466,"8,465","9,604","10,968","12,799","15,075","17,468","18,542","4,180","4,751","5,440","6,371","7,531","8,736","9,279","4,285","4,853","5,527","6,428","7,544","8,732","9,263"
69,Mauritania,,478,"2,030","2,327","2,709","3,131","3,610","4,182","4,420","1,012","1,160","1,354","1,568","1,812","2,106","2,228","1,018","1,167","1,355","1,562","1,797","2,076","2,192"
70,Niger,,562,"8,013","9,477","11,353","13,618","16,426","19,897","21,477","3,911","4,659","5,635","6,785","8,210","9,968","10,770","4,102","4,818","5,718","6,834","8,216","9,929","10,708"
71,Nigeria,,566,"95,270","108,011","122,352","138,939","158,578","181,182","190,886","47,929","54,380","61,685","70,160","80,204","91,769","96,729","47,341","53,632","60,667","68,780","78,374","89,413","94,157"
72,Saint Helena,4,654,6,5,5,4,4,4,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..
73,Senegal,,686,"7,556","8,747","9,884","11,251","12,916","14,977","15,851","3,761","4,343","4,864","5,518","6,324","7,351","7,787","3,795","4,404","5,020","5,734","6,592","7,626","8,063"
74,Sierra Leone,,694,"4,312","4,275","4,564","5,658","6,459","7,237","7,557","2,130","2,111","2,253","2,791","3,190","3,582","3,743","2,183","2,164","2,311","2,867","3,269","3,655","3,815"
75,Togo,,768,"3,787","4,274","4,970","5,683","6,503","7,417","7,798","1,868","2,114","2,465","2,824","3,237","3,696","3,887","1,919","2,160","2,505","2,860","3,266","3,721","3,911"
76,ASIA,,935,"3,221,342","3,489,306","3,730,371","3,964,343","4,194,425","4,419,898","4,504,428","1,644,720","1,782,068","1,904,672","2,026,433","2,145,953","2,261,590","2,304,731","1,576,622","1,707,238","1,825,699","1,937,910","2,048,472","2,158,308","2,199,697"
77,Central Asia,,5500,"50,343","53,437","55,559","58,738","63,156","68,705","70,840","24,727","26,341","27,370","28,965","31,189","33,974","35,038","25,616","27,096","28,189","29,773","31,968","34,731","35,802"
78,Kazakhstan,,398,"16,540","16,035","15,057","15,541","16,399","17,750","18,204","8,029","7,771","7,243","7,487","7,927","8,595","8,817","8,511","8,264","7,814","8,054","8,472","9,155","9,388"
79,Kyrgyzstan,,417,"4,373","4,566","4,921","5,075","5,422","5,865","6,045","2,145","2,253","2,433","2,516","2,680","2,908","2,998","2,228","2,314","2,488","2,560","2,743","2,957","3,048"
80,Tajikistan,,762,"5,284","5,765","6,216","6,854","7,642","8,549","8,921","2,619","2,876","3,114","3,450","3,851","4,297","4,481","2,665","2,888","3,103","3,404","3,790","4,251","4,441"
81,Turkmenistan,,795,"3,684","4,208","4,516","4,755","5,087","5,565","5,758","1,810","2,072","2,223","2,339","2,503","2,740","2,835","1,874","2,136","2,293","2,416","2,585","2,825","2,923"
