,Country Name,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
152,Papua New Guinea,1534.084289,2302.883837,2175.685453,2400.157835,3127.019115,4072.818793,4197.311358
153,Paraguay,3901.5717,4840.228681,4822.978789,5448.980231,7142.057039,9199.669384,9690.774655
154,Peru,3433.763634,4539.560345,5202.233095,6762.772656,9755.149148,12533.49118,13434.1256
155,Philippines,2591.926586,2886.995938,3348.152451,4255.159861,5483.620944,7320.498539,8342.804479
156,Poland,6178.849301,7664.428781,10651.21145,13895.92354,21068.85123,26594.75786,29026.16642
157,Portugal,11769.02249,14384.59255,18883.91146,22739.58966,27334.8116,29532.38116,31672.71309
158,Puerto Rico,14366.15945,18976.46391,24575.57805,31497.83921,33237.81691,37581.03004,..
159,Qatar,..,..,85860.61144,97767.19034,122609.4108,127516.9086,128378.3008
160,Romania,5262.053542,5453.11972,5877.075724,9723.548285,17027.14177,21566.07305,25840.83637
161,Russian Federation,8012.802317,5611.658378,6825.411391,11822.3709,20497.93408,24737.68944,25532.99535
162,Rwanda,563.9440134,495.4533585,628.4938115,929.4457449,1337.558637,1843.326591,2035.654068
163,Samoa,2358.562479,2687.256759,3428.776564,4750.376751,5290.660663,5919.359821,6610.795239
164,San Marino,..,..,59984.93674,74436.85094,72368.20363,60028.92435,62425.63293
165,Sao Tome and Principe,..,..,..,1983.3395,2588.079743,3138.69963,3351.436191
166,Saudi Arabia,27441.43618,32066.50746,34139.65786,40547.13447,44502.41931,54013.87804,53844.73624
167,Senegal,1192.399169,1287.462696,1514.344488,1876.662445,2139.815826,2442.643073,2712.337455
168,Serbia,..,4876.099083,5725.249454,8707.039365,12087.10105,13896.12139,15090.02691
169,Seychelles,9188.613001,11007.37547,14626.46037,15859.91946,19953.1605,26468.86683,28963.91868
170,Sierra Leone,808.2880675,697.223837,723.4657472,945.160682,1175.715701,1399.523362,1526.347711
171,Singapore,22198.09649,32752.18099,40983.9929,55180.901,70657.03495,87043.18771,93905.42416
172,Sint Maarten (Dutch part),..,..,..,..,..,..,..
173,Slovak Republic,..,8647.465256,11354.83338,16616.13454,24986.61281,29522.04477,31616.48013
174,Slovenia,..,13555.14117,18047.49626,23945.25534,27766.42038,31468.36317,34868.21428
175,Solomon Islands,1217.161294,1749.482898,1439.995732,1496.310269,1833.514116,2288.629698,2421.783202
176,Somalia,..,..,..,..,..,..,..
177,South Africa,6267.093412,6585.894346,7560.858117,9601.275306,11647.33104,13180.52924,13497.9878
178,South Sudan,..,..,..,..,..,1997.02555,..
179,Spain,13634.44232,16217.14391,21530.47468,27702.46431,31954.24275,34818.12051,37997.85234
180,Sri Lanka,2334.773757,3253.115322,4392.675495,5766.395248,8357.029907,11798.38995,12810.95091
181,St. Kitts and Nevis,9259.512727,12092.41487,15989.91059,19702.28979,20979.06198,25737.62444,27066.93338
182,St. Lucia,6354.100709,7602.144351,8660.701924,10087.24736,11878.58658,13334.2754,14219.23744
183,St. Martin (French part),..,..,..,..,..,..,..
184,St. Vincent and the Grenadines,3604.049474,4825.076146,5988.01913,8297.089193,9714.99908,11147.28078,11776.84795
185,Sudan,1126.84678,1429.511146,1812.470805,2415.537115,3298.004749,4568.664858,4903.575522
186,Suriname,6815.595198,7010.810181,7713.114214,10834.59221,13924.39072,15724.63939,15114.29604
187,Sweden,20107.97723,22788.00969,29275.83802,33967.18753,41627.97373,47891.27784,50208.16476
188,Switzerland,27609.04592,29900.40792,35748.87697,40572.26318,53119.38653,63648.28802,64712.1275
189,Syrian Arab Republic,..,..,..,..,..,..,..
190,Tajikistan,2355.668655,925.9070995,935.1975543,1519.740662,2063.730411,2811.86989,3180.389446
191,Tanzania,951.7795331,997.5641161,1174.301211,1620.583573,2048.293593,2652.531647,2945.877987
192,Thailand,4298.39894,6839.711441,7283.51129,10262.10894,13213.74775,16241.55555,17870.5181
